step,policy,seed,failure_scenario,coverage,active_drones,mean_energy,hives,connected_hive_fraction,exploration_depth
29,carrier_only,7,0,0.06701388888888889,24,31.993420095161422,1,1.0,31.477446794092042
30,carrier_only,7,0,0.07013888888888889,24,31.975769937139876,1,1.0,32.6148471663465
31,carrier_only,7,0,0.07256944444444445,24,31.963314114215052,1,1.0,32.934657379136134
32,carrier_only,7,0,0.07615740740740741,24,31.94892271940779,1,1.0,33.30041588318566
33,carrier_only,7,0,0.07847222222222222,24,31.9316896404727,1,1.0,34.01750430731918
34,carrier_only,7,0,0.08252314814814815,24,31.895858093524065,1,1.0,35.17316751877583
35,carrier_only,7,0,0.08599537037037037,24,31.862947829561637,1,1.0,35.95546165909636
36,carrier_only,7,0,0.08923611111111111,24,31.81704947423255,1,1.0,36.48375013323566
37,carrier_only,7,0,0.09270833333333334,24,31.762298806972392,1,1.0,37.26882315168717
38,carrier_only,7,0,0.09513888888888888,24,31.723207609835466,1,1.0,37.985737501768945
39,carrier_only,7,0,0.09780092592592593,24,31.66296860431523,1,1.0,38.32043125096964
40,carrier_only,7,0,0.10104166666666667,24,31.601608790480157,1,1.0,39.52432453465373
41,carrier_only,7,0,0.10300925925925926,24,31.52787883009694,1,1.0,40.150930056960796
42,carrier_only,7,0,0.1068287037037037,24,31.447819791062027,1,1.0,41.20279672355951
43,carrier_only,7,0,0.11018518518518519,24,31.373158762200593,1,1.0,41.768734519449914
44,carrier_only,7,0,0.11331018518518518,24,31.282745983169963,1,1.0,42.665280111362875
45,carrier_only,7,0,0.11724537037037037,24,31.15761081563471,1,1.0,43.35363098658913
46,carrier_only,7,0,0.12164351851851851,24,31.04756430543942,1,1.0,43.7690344923435
47,carrier_only,7,0,0.1258101851851852,24,30.913554630898687,1,1.0,44.55570509035923
48,carrier_only,7,0,0.1292824074074074,24,30.76011294352747,1,1.0,45.1332874950659
49,carrier_only,7,0,0.13391203703703702,24,30.612594505779402,1,1.0,45.55648578748018
50,carrier_only,7,0,0.13703703703703704,24,30.455732838368146,1,1.0,45.90084384740779
51,carrier_only,7,0,0.14108796296296297,24,30.284341470358854,1,1.0,46.86126469989392
52,carrier_only,7,0,0.14444444444444443,24,30.058197060409498,1,1.0,47.35877706036255
53,carrier_only,7,0,0.14884259259259258,24,29.88056531388276,1,1.0,48.54610754936862
54,carrier_only,7,0,0.15219907407407407,24,29.66832918874191,1,1.0,48.999699239678066
55,carrier_only,7,0,0.1553240740740741,24,29.442962331148937,1,1.0,49.84531286767624
56,carrier_only,7,0,0.15833333333333333,24,29.22304010766713,1,1.0,50.70974577924881
57,carrier_only,7,0,0.16111111111111112,24,28.969715093257236,1,1.0,51.22862528953827
58,carrier_only,7,0,0.16516203703703702,24,28.693454141382205,1,1.0,52.355360766254186
59,carrier_only,7,0,0.16805555555555557,24,28.449197469411832,1,1.0,53.03954963495062
60,carrier_only,7,0,0.17210648148148147,24,28.177609344859547,1,1.0,53.710203442475326
61,carrier_only,7,0,0.17592592592592593,24,27.904197269045458,1,1.0,54.28142856654462
62,carrier_only,7,0,0.17997685185185186,24,27.599247047366536,1,1.0,55.00193928437177
63,carrier_only,7,0,0.18344907407407407,24,27.32482562743859,1,1.0,55.26863765991854
64,carrier_only,7,0,0.18715277777777778,24,27.025970219247835,1,1.0,55.971329412337745
65,carrier_only,7,0,0.19166666666666668,24,26.70846372779863,1,1.0,56.4090959700304
66,carrier_only,7,0,0.19502314814814814,24,26.389039930752034,1,1.0,57.222687955875244
67,carrier_only,7,0,0.19814814814814816,24,26.07996530219908,1,1.0,57.832229381432
68,carrier_only,7,0,0.20173611111111112,24,25.75899319447348,1,1.0,58.41035699899273
69,carrier_only,7,0,0.20555555555555555,24,25.421147480426153,1,1.0,59.36636307782991
70,carrier_only,7,0,0.2101851851851852,24,25.05979676245617,1,1.0,60.26379425276526
71,carrier_only,7,0,0.21307870370370371,24,24.693290565913966,1,1.0,61.413562398494115
72,carrier_only,7,0,0.2167824074074074,24,24.35010846132506,1,1.0,61.99434416883704
73,carrier_only,7,0,0.2207175925925926,24,23.994158513451925,1,1.0,62.79765263105171
74,carrier_only,7,0,0.22430555555555556,24,23.63317105567584,1,1.0,63.654051685740384
75,carrier_only,7,0,0.2283564814814815,24,23.289588423785602,1,1.0,64.48045343526219
76,carrier_only,7,0,0.23159722222222223,24,22.91254522175249,1,1.0,65.2739895815521
77,carrier_only,7,0,0.23472222222222222,24,22.550268583062195,1,1.0,65.85227633252535
78,carrier_only,7,0,0.2380787037037037,24,22.155995295986457,1,1.0,66.5822351127795
79,carrier_only,7,0,0.24166666666666667,24,21.75681377925476,1,1.0,67.3418655264569
80,carrier_only,7,0,0.24444444444444444,24,21.382801298360267,1,1.0,68.06662319304556
81,carrier_only,7,0,0.24722222222222223,24,21.002758464966234,1,1.0,68.34223472507314
82,carrier_only,7,0,0.2501157407407407,24,20.617063375867616,1,1.0,69.11946684247592
83,carrier_only,7,0,0.25381944444444443,24,20.224002740400206,1,1.0,69.95944946362106
84,carrier_only,7,0,0.2574074074074074,24,19.829691148288067,1,1.0,70.99055360862621
85,carrier_only,7,0,0.26087962962962963,24,19.42039951230665,1,1.0,71.67235546349926
86,carrier_only,7,0,0.2633101851851852,24,19.019360075970056,1,1.0,72.66825997181934
87,carrier_only,7,0,0.26643518518518516,24,18.612629229030876,1,1.0,73.4344923410364
88,carrier_only,7,0,0.27037037037037037,24,18.212811995545415,1,1.0,74.09946676529844
89,carrier_only,7,0,0.2730324074074074,24,17.804897239909838,1,1.0,75.1975754189111
90,carrier_only,7,0,0.2763888888888889,24,17.3930475399595,1,1.0,75.99948772157845
91,carrier_only,7,0,0.2796296296296296,24,17.00736408309808,1,1.0,76.86797636139357
92,carrier_only,7,0,0.28217592592592594,24,16.61726615470353,1,1.0,77.73308774530653
93,carrier_only,7,0,0.2863425925925926,24,16.1954126240294,1,1.0,78.7826495225632
94,carrier_only,7,0,0.2896990740740741,24,15.784471713864933,1,1.0,79.40908771473369
95,carrier_only,7,0,0.29247685185185185,24,15.380726497489212,1,1.0,79.63353644056119
96,carrier_only,7,0,0.2962962962962963,24,14.966983809236732,1,1.0,80.70248414851437
97,carrier_only,7,0,0.29965277777777777,24,14.572411644104262,1,1.0,81.73636886824266
98,carrier_only,7,0,0.3019675925925926,24,14.151253964263729,1,1.0,82.48730222624849
99,carrier_only,7,0,0.3055555555555556,24,13.752014059740384,1,1.0,83.41825726478886
100,carrier_only,7,0,0.30925925925925923,24,13.334962660927332,1,1.0,84.35244378349877
101,carrier_only,7,0,0.3128472222222222,24,12.93145688788686,1,1.0,85.48490276405829
102,carrier_only,7,0,0.31689814814814815,24,12.527660959726065,1,1.0,86.45627104816896
103,carrier_only,7,0,0.32083333333333336,24,12.136260716528255,1,1.0,87.49124219613435
104,carrier_only,7,0,0.3241898148148148,24,11.732278377860617,1,1.0,88.01295062452674
105,carrier_only,7,0,0.32881944444444444,24,11.295031050702741,1,1.0,88.52855544609768
106,carrier_only,7,0,0.331712962962963,24,10.907650537473431,1,1.0,89.65418539861128
107,carrier_only,7,0,0.3355324074074074,24,10.500711721899451,1,1.0,90.3831043517807
108,carrier_only,7,0,0.33969907407407407,24,10.080978272866309,1,1.0,91.47608375688924
109,carrier_only,7,0,0.3423611111111111,24,9.675172596948839,1,1.0,92.30503809167526
110,carrier_only,7,0,0.34594907407407405,24,9.269954469983777,1,1.0,93.54433504633806
111,carrier_only,7,0,0.3494212962962963,24,8.88638642537307,1,1.0,94.29704148749947
112,carrier_only,7,0,0.3523148148148148,24,8.461943095159043,1,1.0,95.27483235505494
113,carrier_only,7,0,0.35636574074074073,24,8.055016105239948,1,1.0,96.08502631955514
114,carrier_only,7,0,0.359375,23,7.9776608780829505,1,1.0,97.3145747388553
115,carrier_only,7,0,0.36261574074074077,23,7.55328695675771,1,1.0,98.43333363910776
116,carrier_only,7,0,0.366087962962963,22,7.463817644911131,1,1.0,99.16524727409734
117,carrier_only,7,0,0.3704861111111111,22,7.045917824303595,1,1.0,100.18901400379032
118,carrier_only,7,0,0.3734953703703704,21,6.963620682296003,1,1.0,101.16185838424641
119,carrier_only,7,0,0.3770833333333333,21,6.548428148524088,1,1.0,101.16185838424641
120,carrier_only,7,0,0.37939814814814815,21,6.145496245848948,1,1.0,101.16185838424641
121,carrier_only,7,0,0.38252314814814814,21,5.728913165065424,1,1.0,101.16185838424641
122,carrier_only,7,0,0.38472222222222224,19,5.888178012898603,1,1.0,101.16185838424641
123,carrier_only,7,0,0.38796296296296295,18,5.781539841091729,1,1.0,101.16185838424641
124,carrier_only,7,0,0.3903935185185185,18,5.333856350317954,1,1.0,101.16185838424641
125,carrier_only,7,0,0.39386574074074077,18,4.886230113754376,1,1.0,101.16185838424641
126,carrier_only,7,0,0.3957175925925926,18,4.49804370921892,1,1.0,101.16185838424641
127,carrier_only,7,0,0.39814814814814814,18,4.076043315809874,1,1.0,101.3058435172764
128,carrier_only,7,0,0.4008101851851852,16,4.140629523498703,1,1.0,102.30235484310883
129,carrier_only,7,0,0.4023148148148148,16,3.7444692437021074,1,1.0,102.30235484310883
130,carrier_only,7,0,0.4047453703703704,16,3.3488579173283943,1,1.0,102.30235484310883
131,carrier_only,7,0,0.4063657407407407,15,3.1497756295929755,1,1.0,102.30235484310883
132,carrier_only,7,0,0.4082175925925926,14,2.9514109021059776,1,1.0,102.30235484310883
133,carrier_only,7,0,0.41041666666666665,14,2.5223296821574457,1,1.0,102.30235484310883
134,carrier_only,7,0,0.41238425925925926,11,2.7045388421240903,1,1.0,102.30235484310883
135,carrier_only,7,0,0.4131944444444444,11,2.2735443806764852,1,1.0,102.30235484310883
