policy,failure_scenario,runs,final_coverage_mean,final_coverage_sd,survival_rate_mean,survival_rate_sd,mean_energy_mean,mean_energy_sd,hives_mean,hives_sd,connected_hive_fraction_mean,connected_hive_fraction_sd,exploration_depth_mean,exploration_depth_sd
carrier_only,0,5,0.4384027777777778,0.02211032907179895,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,101.8693250406842,1.236566110123805
fixed_relay,0,5,0.515787037037037,0.015657673314539045,0.7416666666666666,0.045643546458763846,31.710449416168416,0.18301174827274644,6.0,0.0,1.0,0.0,119.0,0.0
fixed_relay,1,5,0.515787037037037,0.015657673314539045,0.7416666666666666,0.045643546458763846,31.710449416168416,0.18301174827274644,6.0,0.0,0.8333333333333334,0.0,119.0,0.0
adaptive_frontier,0,5,0.36159722222222224,0.006443340156558084,1.0,0.0,32.0,0.0,5.0,0.0,1.0,0.0,119.0,0.0
adaptive_frontier,1,5,0.36138888888888887,0.006460054695596319,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.0,119.0,0.0
